id,female,hispanic,white,black,native,asian,prtedu,health,q1,q2,q3,q4,q5,q6,q7,q8
90577817,1,0,1,0,0,0,7,2,0,1,1,0,3,3,0,0
90577852,0,0,1,0,0,0,8,4,0,1,0,0,3,3,0,0
90577920,0,0,0,1,0,0,8,4,1,2,2,0,3,3,0,0
90577928,0,0,1,0,0,0,8,4,0,1,0,0,3,3,0,0
90577964,0,0,1,0,0,0,9,3,1,1,1,0,3,3,0,0
90578004,1,0,0,1,0,0,8,2,0,0,2,3,0,1,3,0
90578025,0,0,1,0,0,0,4,3,0,0,1,0,3,2,0,1
90578044,0,0,1,0,0,0,7,3,0,2,0,1,1,1,1,1
90578076,1,0,1,0,0,0,5,2,1,1,1,1,2,2,1,0
90578105,1,0,0,1,0,0,2,4,1,0,0,0,1,3,1,0
90578112,1,0,0,1,0,0,8,3,0,2,0,0,2,2,0,0
90578198,1,0,1,0,0,0,8,3,1,1,1,1,1,2,0,0
90578203,1,0,0,1,0,0,,2,0,0,0,0,2,3,0,0
90578217,1,0,1,0,0,0,6,3,0,0,0,0,2,2,0,0
90578288,1,0,0,1,0,0,4,2,0,0,0,0,0,2,0,0
90578302,1,0,0,1,0,0,7,3,1,1,0,0,3,3,0,0
90578304,0,0,0,1,0,0,8,4,0,3,0,0,0,1,0,0
90578380,1,0,0,1,0,0,2,4,0,0,0,0,2,3,0,0
90578461,0,1,1,0,0,0,4,4,0,0,0,0,1,2,0,0
90578487,1,0,0,1,0,0,8,1,2,0,1,3,1,3,2,2
90578496,1,0,1,0,0,0,,1,1,1,1,0,2,2,0,0
90578587,1,0,0,1,0,0,8,1,2,2,0,1,1,3,1,0
90578618,1,0,1,0,0,0,6,3,1,1,3,1,3,3,1,0
90578620,1,0,1,0,0,0,8,2,1,1,1,0,3,3,0,0
90578805,0,0,0,1,0,0,2,3,2,2,1,3,1,1,1,1
90578806,1,0,0,1,0,0,7,3,0,3,2,1,1,1,1,0
90578813,1,0,1,0,0,0,4,3,1,0,0,0,3,3,0,0
90578846,1,0,1,0,0,0,6,3,0,0,1,0,3,3,0,0
90578873,1,0,1,0,0,0,6,2,1,1,1,1,1,1,1,1
90578880,1,0,0,1,0,0,4,2,1,0,1,1,2,2,1,1
90578923,1,0,0,1,0,0,8,4,0,0,1,0,3,3,0,0
90578927,1,0,1,0,0,0,4,3,1,1,2,1,2,1,1,0
90578985,1,0,0,1,0,0,8,4,0,1,0,0,3,3,0,0
90578986,0,0,0,1,0,0,9,4,0,0,0,0,3,3,1,0
90578999,1,0,1,0,0,0,8,4,1,1,0,1,1,1,2,0
90579230,0,0,0,1,0,0,7,3,0,0,0,0,3,3,1,0
90579233,1,0,0,1,0,0,2,4,2,0,0,0,3,3,0,0
90579270,0,0,1,0,0,0,8,2,0,0,1,0,2,2,0,0
90579272,1,0,1,0,0,0,4,2,0,1,0,0,3,3,0,0
90579296,1,0,1,0,0,0,8,3,0,0,0,0,3,3,0,0
90579944,1,0,1,0,0,0,2,2,0,0,0,0,3,3,1,0
90579966,0,0,1,0,0,0,4,3,0,0,0,0,3,3,0,0
90579985,0,0,1,0,0,0,7,3,3,3,1,3,0,0,3,2
90579990,0,0,1,0,0,0,4,2,0,1,2,0,2,2,0,1
90579992,1,0,1,0,0,0,4,4,1,0,1,0,3,3,0,0
90606920,1,0,1,0,0,0,9,3,0,0,0,0,3,3,0,0
90608976,0,1,1,0,0,0,9,2,1,0,0,0,3,3,0,0
90614371,0,0,1,0,0,0,4,2,0,1,1,0,2,3,0,0
90614876,1,0,1,0,0,0,8,3,0,1,1,0,3,3,0,0
90614978,1,0,1,0,0,0,6,4,0,0,0,0,3,3,1,0
90619260,1,0,1,0,0,0,8,3,0,2,0,0,3,3,0,0
90619265,0,0,1,0,0,0,8,4,1,2,1,1,1,2,1,0
90619464,0,0,1,0,0,0,4,4,0,2,1,0,2,2,1,1
90619961,1,0,1,0,0,0,9,3,0,2,0,0,2,2,1,1
90646128,1,0,0,1,0,0,9,4,0,0,0,0,3,3,1,0
90676053,1,0,0,1,0,0,8,3,1,0,1,0,2,2,0,0
90676321,1,0,1,0,0,0,7,3,1,0,2,1,2,2,1,1
90676725,0,0,0,1,0,0,9,3,0,0,1,0,3,3,0,0
90678178,0,0,1,0,0,0,4,3,0,2,2,1,1,1,1,0
90678671,0,0,0,1,0,0,8,4,0,1,0,0,2,3,0,0
90710085,0,0,0,1,0,0,4,3,0,0,1,0,2,2,1,0
90710194,1,0,1,0,0,0,8,4,0,1,0,0,3,3,0,0
90710297,0,0,1,0,0,0,4,2,0,2,1,0,2,3,0,0
90710386,1,0,1,0,0,0,7,2,0,0,0,0,3,3,0,0
90711360,0,0,1,0,0,0,8,4,1,0,0,0,3,3,1,0
90712140,1,0,0,1,0,0,4,3,0,0,0,0,3,3,0,0
90712211,1,0,1,0,0,0,9,4,0,0,0,0,3,3,0,0
90712216,1,0,1,0,0,0,8,2,0,1,1,0,3,2,0,0
90712914,1,0,1,0,0,0,4,2,0,0,0,0,2,2,0,0
90712942,1,0,0,1,1,0,8,3,1,0,1,0,2,2,0,0
90712997,0,1,1,0,0,0,2,3,2,0,1,1,2,2,1,0
90713391,1,0,0,0,0,1,9,3,1,1,3,1,2,2,1,0
90713702,0,0,0,1,0,0,8,4,0,0,0,0,2,3,1,0
90713909,1,0,0,1,0,0,5,4,0,1,1,0,3,3,0,0
90713930,0,0,1,0,0,0,9,4,0,1,2,0,2,2,1,1
90713998,1,0,1,0,0,0,7,3,1,2,2,0,3,3,1,0
90714016,0,0,0,1,0,0,3,3,0,2,1,0,3,3,1,0
90714022,1,0,1,0,0,0,7,2,0,1,0,0,1,1,0,0
90714025,1,0,1,0,0,0,8,2,1,2,1,1,1,3,1,1
90714212,1,0,0,1,0,0,2,2,1,0,1,0,2,3,1,0
90714245,1,1,,,,,4,2,0,0,1,1,2,2,1,0
90714328,0,0,1,0,0,0,8,3,1,0,2,1,2,2,1,0
90714942,0,0,1,0,0,0,2,1,1,2,1,0,1,2,1,1
90715191,0,0,1,0,0,0,2,2,0,2,0,1,1,1,1,0
90715198,1,0,0,1,0,0,8,3,1,2,1,1,2,2,1,0
90715266,0,0,1,0,1,0,4,4,0,0,0,0,2,2,0,0
90715294,0,0,1,1,0,0,8,2,1,1,0,0,2,2,1,0
90715353,1,0,1,0,0,0,4,1,0,1,1,0,3,3,1,1
90715983,0,0,1,0,0,0,4,2,1,1,1,1,2,3,1,0
90715987,1,0,1,0,0,0,7,3,1,0,0,0,3,3,0,0
