id,age,female,hispanic,white,black,native,asian,prtedu,health,q1,q2,q3,q4,q5,q6,q7,q8
57272274,15,1,0,0,1,0,0,2,2,0,2,1,0,2,1,0,0
57275298,13,1,0,0,1,0,0,6,3,0,0,0,0,3,3,2,0
57275660,15,0,1,1,0,0,0,8,3,1,2,1,1,2,3,1,0
57277289,12,0,0,0,0,0,0,8,3,0,1,1,0,3,3,0,0
57277290,14,1,0,1,0,0,0,9,3,0,1,0,0,3,3,0,0
57279640,12,0,1,0,0,0,0,8,3,0,0,0,0,2,3,0,0
88122937,12,0,0,1,0,0,0,6,3,1,0,1,0,2,2,0,0
88149345,13,1,1,1,0,0,0,1,1,1,0,1,0,3,3,0,0
88183732,17,0,0,1,0,0,0,4,4,1,0,0,0,3,3,1,1
88191219,14,0,0,1,0,0,0,6,4,0,3,2,1,1,1,1,2
88191364,17,0,0,1,0,0,0,4,2,0,0,1,0,2,2,0,0
88202138,16,1,0,0,1,0,0,2,3,1,0,0,0,3,3,0,0
88239382,15,0,0,1,0,0,0,5,2,1,1,1,0,2,2,0,0
88249047,17,1,0,0,1,0,0,7,3,1,1,1,0,2,2,1,0
88251811,16,0,0,1,0,0,0,7,4,0,1,0,0,2,2,1,0
88268811,16,0,0,0,1,0,0,4,4,1,1,1,1,1,1,1,1
90316053,12,1,0,1,0,0,0,4,2,0,0,0,1,1,1,1,0
90316656,12,0,0,1,0,0,0,8,4,2,1,1,1,2,1,1,1
90500059,17,1,1,1,0,0,0,6,4,1,0,0,0,3,3,0,0
90500459,14,1,0,0,1,0,0,8,2,1,1,1,0,3,3,0,0
90500516,17,1,0,1,0,0,0,7,2,1,2,0,0,1,1,0,0
90500638,17,0,0,0,1,0,0,6,3,0,1,0,0,3,3,0,0
90500914,17,0,0,0,1,0,0,7,3,0,0,1,0,3,3,0,0
90500974,16,0,0,1,0,0,0,4,3,0,0,1,0,3,3,0,0
90501955,15,0,0,1,0,0,0,6,2,1,2,2,1,1,1,2,0
90503807,15,0,0,0,0,0,1,9,4,1,2,1,1,1,1,2,1
90504005,17,0,0,0,1,0,0,8,2,0,2,1,0,1,3,0,2
90504104,15,1,0,0,1,0,0,7,3,0,1,1,1,2,2,1,0
90504142,17,1,0,1,0,0,0,4,3,1,1,1,1,1,2,1,0
90504220,15,0,0,1,0,0,0,8,2,0,0,1,0,3,3,0,0
90504248,17,0,1,0,0,0,0,4,2,1,2,0,1,1,1,1,1
90504280,17,0,0,1,0,0,0,6,4,0,1,0,1,2,2,1,0
90504500,15,1,0,0,1,0,0,8,2,1,1,1,0,2,2,0,0
