id,school,classroom,fsi_b01,fsi_b02,fsi_b03,fsi_b04,fsi_b05,fsi_b06,fsi_b07,fsi_b08,fsi_b09,fsi_b10,fsi_b11,fsi_b12,fsi_b13,fsi_b14,fsi_b15,fsi_b16,fsi_b17,fsi_b18,fsi_b19,fsi_b20,total,locale,class_size,avg_age,pct_female,pct_sped,pct_white,pct_black,pct_hispanic
90,4,6,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,1,35,Rural,21,69.4,0.666666666666667,0.19047619047619,0.857142857142857,0,0
91,4,6,0,2,0,2,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,1,9,Rural,21,69.4,0.666666666666667,0.19047619047619,0.857142857142857,0,0
92,4,6,0,0,0,0,2,2,2,2,2,0,0,0,0,0,2,2,2,2,2,2,22,Rural,21,69.4,0.666666666666667,0.19047619047619,0.857142857142857,0,0
93,4,6,0,2,2,0,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,10,Rural,21,69.4,0.666666666666667,0.19047619047619,0.857142857142857,0,0
94,4,6,2,2,2,2,0,2,2,0,2,0,2,2,2,2,2,2,2,0,1,2,31,Rural,21,69.4,0.666666666666667,0.19047619047619,0.857142857142857,0,0
95,4,6,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,2,0,12,Rural,21,69.4,0.666666666666667,0.19047619047619,0.857142857142857,0,0
96,4,6,2,2,2,2,2,2,2,2,2,2,2,2,1,0,2,2,2,0,1,2,34,Rural,21,69.4,0.666666666666667,0.19047619047619,0.857142857142857,0,0
97,4,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,39,Rural,21,69.4,0.666666666666667,0.19047619047619,0.857142857142857,0,0
98,4,6,2,0,2,0,2,2,2,2,2,2,2,1,1,1,1,1,2,1,2,0,28,Rural,21,69.4,0.666666666666667,0.19047619047619,0.857142857142857,0,0
99,4,6,0,2,2,0,2,2,2,2,2,0,2,1,2,0,0,2,0,2,0,2,25,Rural,21,69.4,0.666666666666667,0.19047619047619,0.857142857142857,0,0
100,4,6,2,0,2,2,2,0,0,2,2,2,0,2,2,2,1,0,1,1,0,0,23,Rural,21,69.4,0.666666666666667,0.19047619047619,0.857142857142857,0,0
101,4,6,0,2,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,7,Rural,21,69.4,0.666666666666667,0.19047619047619,0.857142857142857,0,0
