schid,stuid,pfemale,page,sfemale,match,attention,affective
1439,0,1,44,0,0,-1.12117117042333,0
1439,1,1,41,0,0,0.603707553304873,1
1439,2,1,44,0,0,-0.258731808559231,0
1439,3,1,44,0,0,-1.12117117042333,0
1439,4,1,46,0,0,-1.12117117042333,0
1439,5,1,40,0,0,1.03492723423692,0
1439,6,1,38,0,0,1.89736659610103,0
1439,7,1,43,0,0,0.172487872372821,0
1439,8,1,43,0,0,0.172487872372821,0
1439,9,1,44,0,0,-0.258731808559231,0
1494,1,1,44,1,1,-0.752101433090355,0
1494,2,1,42,0,0,-0.268607654675127,0
1494,3,1,41,1,1,-0.268607654675127,0
1494,4,1,42,0,0,0.214886123740102,0
1494,5,1,45,1,1,-1.23559521150558,0
1494,6,1,36,0,0,1.18187368057056,1
1494,7,1,40,1,1,1.18187368057056,0
1494,8,1,44,0,0,-1.23559521150558,0
1494,9,1,39,1,1,1.18187368057056,0
1506,0,1,38,0,0,0.764719112901873,0
1506,2,1,43,0,0,-1.98826969354487,0
1506,3,1,39,1,1,0.305887645160749,0
1506,4,1,41,0,0,-0.152943822580375,0
1506,5,1,40,0,0,-0.152943822580375,0
1506,6,1,40,0,0,0.764719112901873,0
1506,7,1,36,0,0,0.305887645160749,1
1506,8,1,37,0,0,1.223550580643,0
1506,9,1,39,1,1,-1.07060675806262,1
1546,0,1,37,0,0,1.06273786264811,0
1546,1,1,43,0,0,-0.9298956298171,0
1546,2,1,36,0,0,1.06273786264811,0
1546,3,1,41,1,1,-0.597790047739564,0
1546,4,1,40,1,1,0.0664211164155069,0
1546,5,1,40,0,0,-0.597790047739564,0
1546,6,1,39,0,0,0.398526698493043,0
1546,7,1,46,0,0,-1.92621237604971,0
1546,8,1,39,0,0,0.398526698493043,0
1546,9,1,36,0,0,1.06273786264811,1
1601,0,1,38,0,0,0.891278030761086,1
1601,1,1,40,0,0,-0.046909370040057,0
1601,2,1,40,0,0,-0.9850967708412,1
1601,3,1,40,0,0,-0.516003070440629,0
1601,4,1,41,0,0,-0.516003070440629,0
1601,5,1,38,0,0,0.891278030761086,0
1601,6,1,42,0,0,-0.516003070440629,0
1601,7,1,40,0,0,1.82946543156223,0
1601,8,1,43,0,0,-1.45419047124177,0
1601,9,1,38,0,0,0.422184330360514,1
1619,0,1,39,0,0,0.825975436176105,0
1619,2,1,43,0,0,-0.217361956888448,0
1619,3,1,41,0,0,0.478196305154587,0
1619,4,1,41,0,0,-0.565141087909966,0
1619,5,1,45,0,0,-1.260699349953,0
1619,6,1,41,0,0,0.478196305154587,0
1619,7,1,39,0,0,1.52153369821914,0
1619,9,1,44,0,0,-1.260699349953,0
1703,0,1,44,0,0,-0.457036674119235,0
1703,1,1,43,1,1,0.558600379479064,0
1703,2,1,43,0,0,-0.457036674119235,0
1703,3,1,40,1,1,0.558600379479064,0
1703,4,1,41,0,0,0.558600379479064,0
1703,5,1,41,1,1,-0.964855200918384,1
1703,6,1,39,0,0,1.57423743307736,0
1703,7,1,44,1,1,-1.47267372771753,0
1703,8,1,41,0,0,1.06641890627821,0
1703,9,1,45,1,1,-0.964855200918384,0
2505,2,1,46,1,1,-1.12855298537376,0
2505,6,1,39,1,1,0.352672807929299,0
2505,9,1,34,0,0,0.775880177444458,1
2511,0,1,,1,1,0.914991421995628,
2511,1,1,36,0,0,0.304997140665209,1
2511,2,1,39,1,1,0,0
2511,3,1,37,0,0,0.914991421995628,0
2511,4,1,46,1,1,-1.82998284399126,0
2511,5,1,37,0,0,0.304997140665209,1
2511,6,1,39,1,1,0.304997140665209,0
2511,7,1,45,0,0,-1.52498570332605,0
2511,9,1,40,0,0,0.609994281330418,0
2515,1,1,,0,0,0.423789689763007,
2515,3,1,46,0,0,-1.35612700724162,0
2515,4,1,45,1,1,-1.10185319338382,0
2515,5,1,40,0,0,0.169515875905203,0
2515,7,1,34,0,0,0.932337317478614,1
2515,8,1,35,1,1,0.932337317478614,1
2521,0,1,,1,1,0.834812072811119,
2521,1,1,42,0,0,-0.395437297647372,0
2521,3,1,40,0,0,0.527249730196496,0
2521,4,1,35,1,1,0.834812072811119,1
2521,5,1,46,0,0,-1.93324901072049,0
2521,6,1,38,1,1,0.527249730196496,1
2521,8,1,41,1,1,-0.395437297647372,0
2525,1,1,39,0,0,-0.152943822580375,0
2525,2,1,,1,1,0.764719112901872,
2525,3,1,41,0,0,-0.611775290321498,0
2525,4,1,37,1,1,0.764719112901872,0
2525,5,1,,0,0,0.764719112901872,
2525,6,1,41,1,1,-1.52943822580375,0
2525,7,1,42,0,0,-1.52943822580375,0
2525,8,1,35,0,0,0.764719112901872,1
2525,9,1,37,0,0,0.764719112901872,0
2531,0,1,41,1,1,-0.0828166312495001,0
2531,1,1,42,0,0,-0.634927506246167,0
2531,2,1,34,1,1,1.02140511874383,1
2531,3,1,43,0,0,-0.9109829437445,0
2531,4,1,45,1,1,-1.18703838124283,0
2531,5,1,41,0,0,0.193238806248833,0
2531,6,1,,1,1,1.02140511874383,
2531,7,1,36,0,0,1.02140511874383,0
2531,8,1,46,1,1,-1.46309381874117,0
2531,9,1,34,0,0,1.02140511874383,1
2532,0,1,37,0,0,0.723101526062187,0
2532,1,1,36,1,1,0.723101526062187,0
2532,2,1,,0,0,-1.22927259430572,
2532,3,1,40,1,1,-1.88006396776169,0
2532,4,1,40,0,0,0.0723101526062182,0
2532,5,1,,1,1,0.723101526062187,
2532,6,1,34,0,0,0.723101526062187,1
