district,subject,grade,achievement,gap_gender,percent_ell,percent_sped,percent_frl
DAVID DOUGLAS SD 40,rla,6,5.35702304417339,-1.01047430848707,0.2191311,0.12709604,0.76588869
EAGLE POINT SD 9,mth,3,1.27952466769477,0.30963807886653,0.079128169,0.14380479,0.5859195
EAGLE POINT SD 9,rla,3,1.76329756020418,-0.763608538137815,0.079128169,0.14380479,0.5859195
EAGLE POINT SD 9,mth,4,2.15427262037883,0.470467470630371,0.079128169,0.14380479,0.5859195
EAGLE POINT SD 9,rla,4,2.49373360449543,-0.314747343297042,0.079128169,0.14380479,0.5859195
EAGLE POINT SD 9,mth,5,3.06349141855211,0.578519570301408,0.079128169,0.14380479,0.5859195
EAGLE POINT SD 9,rla,5,3.78287053861406,-0.696222529849344,0.079128169,0.14380479,0.5859195
EAGLE POINT SD 9,mth,6,4.94968981293806,0.515044297991514,0.079128169,0.14380479,0.5859195
EAGLE POINT SD 9,rla,6,5.1110086424182,-0.361934603835773,0.079128169,0.14380479,0.5859195
FOREST GROVE SD 15,mth,3,2.02584859393506,0.588158304177906,0.15999347,0.1717601,0.56197327
FOREST GROVE SD 15,rla,3,1.84948190249508,-0.462726933403511,0.15999347,0.1717601,0.56197327
FOREST GROVE SD 15,mth,4,3.20656814581927,0.0360076523820747,0.15999347,0.1717601,0.56197327
FOREST GROVE SD 15,rla,4,3.6150900347806,-0.480353772002535,0.15999347,0.1717601,0.56197327
FOREST GROVE SD 15,mth,5,4.33987575942721,0.176695348969501,0.15999347,0.1717601,0.56197327
FOREST GROVE SD 15,rla,5,4.23459195751525,-1.2613914548705,0.15999347,0.1717601,0.56197327
FOREST GROVE SD 15,mth,6,5.52425152424371,-0.776977351449931,0.15999347,0.1717601,0.56197327
FOREST GROVE SD 15,rla,6,5.54479915280186,-1.0533792775396,0.15999347,0.1717601,0.56197327
GLADSTONE SD 115,mth,3,3.29973588973576,-0.0073344570072043,0.030858245,0.12102218,0.44886565
GLADSTONE SD 115,rla,3,3.19653506765659,0.149120272035483,0.030858245,0.12102218,0.44886565
GLADSTONE SD 115,mth,4,4.05731968769347,0.0315210459492279,0.030858245,0.12102218,0.44886565
GLADSTONE SD 115,rla,4,4.51605575657409,-1.59839951714186,0.030858245,0.12102218,0.44886565
GLADSTONE SD 115,mth,5,4.31526707151919,0.6703779794062,0.030858245,0.12102218,0.44886565
GLADSTONE SD 115,rla,5,5.44806382074166,-0.19792531953488,0.030858245,0.12102218,0.44886565
GLADSTONE SD 115,mth,6,5.55158433800262,-0.38940928790638,0.030858245,0.12102218,0.44886565
GLADSTONE SD 115,rla,6,6.04627005340682,-1.40861960372965,0.030858245,0.12102218,0.44886565
GRESHAM-BARLOW SD 10J,mth,3,1.7396566022663,0.0694315409580647,0.10958676,0.14492393,0.59141898
GRESHAM-BARLOW SD 10J,rla,3,2.21260340411309,-1.0718063022048,0.10958676,0.14492393,0.59141898
GRESHAM-BARLOW SD 10J,mth,4,3.01300730385791,0.190513554690865,0.10958676,0.14492393,0.59141898
GRESHAM-BARLOW SD 10J,rla,4,3.31849704759832,-0.915889093276636,0.10958676,0.14492393,0.59141898
GRESHAM-BARLOW SD 10J,mth,5,3.96539476313199,0.297510196204873,0.10958676,0.14492393,0.59141898
GRESHAM-BARLOW SD 10J,rla,5,4.42620226402843,-0.4478912091075,0.10958676,0.14492393,0.59141898
GRESHAM-BARLOW SD 10J,mth,6,5.30360751656956,-0.422410093723519,0.10958676,0.14492393,0.59141898
GRESHAM-BARLOW SD 10J,rla,6,5.8926412091225,-0.90988704919238,0.10958676,0.14492393,0.59141898
JEFFERSON SD 14J,mth,3,1.30946542308749,0.452213422542193,0.10348837,0.16976744,0.60546255
JEFFERSON SD 14J,rla,3,1.59577142701664,-0.830422961719174,0.10348837,0.16976744,0.60546255
JEFFERSON SD 14J,mth,4,1.81101967146007,1.4246861381859,0.10348837,0.16976744,0.60546255
JEFFERSON SD 14J,rla,4,3.27571987382028,-0.292553353421879,0.10348837,0.16976744,0.60546255
JEFFERSON SD 14J,mth,5,3.86656158741972,0.446883909328149,0.10348837,0.16976744,0.60546255
JEFFERSON SD 14J,rla,5,4.05610290419632,-0.374404837224341,0.10348837,0.16976744,0.60546255
JEFFERSON SD 14J,mth,6,5.05362914817485,-0.555443208817387,0.10348837,0.16976744,0.60546255
JEFFERSON SD 14J,rla,6,5.24861694004155,0.0969160591515828,0.10348837,0.16976744,0.60546255
KLAMATH COUNTY SD,mth,3,2.32705382081963,0.392301559447432,0.042325653,0.13526134,0.69602174
KLAMATH COUNTY SD,rla,3,2.3348700207221,-0.658479765466318,0.042325653,0.13526134,0.69602174
KLAMATH COUNTY SD,mth,4,3.55071548074337,0.216520982829897,0.042325653,0.13526134,0.69602174
KLAMATH COUNTY SD,rla,4,3.56100849140197,-0.620924723020547,0.042325653,0.13526134,0.69602174
KLAMATH COUNTY SD,mth,5,4.33301480578576,0.34959666875245,0.042325653,0.13526134,0.69602174
KLAMATH COUNTY SD,rla,5,4.33490822154489,-0.646087972782271,0.042325653,0.13526134,0.69602174
